station,date,datatype,value
"GHCND:USC00368449","1970-01-08","TMIN",-18.9
"GHCND:USW00014761","1970-01-08","PRCP",.5
"GHCND:USW00014761","1970-01-08","TMAX",-16.1
"GHCND:USW00014761","1970-01-08","TMIN",-21.1
"GHCND:USC00360530","1970-01-09","PRCP",0
"GHCND:USC00360530","1970-01-09","TMAX",-15.6
"GHCND:USC00360530","1970-01-09","TMIN",-20
"GHCND:USC00361480","1970-01-09","PRCP",0
"GHCND:USC00364450","1970-01-09","PRCP",0
"GHCND:USC00364450","1970-01-09","TMIN",-21.1
"GHCND:USC00365790","1970-01-09","PRCP",0
"GHCND:USC00368449","1970-01-09","PRCP",0
"GHCND:USC00368449","1970-01-09","TMAX",-15.6
"GHCND:USC00368449","1970-01-09","TMIN",-20.6
"GHCND:USW00014761","1970-01-09","PRCP",0
"GHCND:USW00014761","1970-01-09","TMAX",-19.4
"GHCND:USW00014761","1970-01-09","TMIN",-22.8
"GHCND:USC00360530","1970-01-10","PRCP",0
"GHCND:USC00360530","1970-01-10","TMAX",-12.8
"GHCND:USC00360530","1970-01-10","TMIN",-20.6
"GHCND:USC00361480","1970-01-10","PRCP",0
"GHCND:USC00364450","1970-01-10","PRCP",0
"GHCND:USC00364450","1970-01-10","TMIN",-20.6
"GHCND:USC00365790","1970-01-10","PRCP",0
"GHCND:USC00368449","1970-01-10","PRCP",0
"GHCND:USC00368449","1970-01-10","TMAX",-12.2
"GHCND:USC00368449","1970-01-10","TMIN",-20.6
"GHCND:USW00014761","1970-01-10","PRCP",0
"GHCND:USW00014761","1970-01-10","TMAX",-10.6
"GHCND:USW00014761","1970-01-10","TMIN",-20
"GHCND:USC00360530","1970-01-11","PRCP",0
"GHCND:USC00360530","1970-01-11","TMAX",-7.8
"GHCND:USC00360530","1970-01-11","TMIN",-12.8
"GHCND:USC00361480","1970-01-11","PRCP",0
"GHCND:USC00364450","1970-01-11","PRCP",0
"GHCND:USC00364450","1970-01-11","TMIN",-12.8
"GHCND:USC00365790","1970-01-11","PRCP",0
"GHCND:USC00368449","1970-01-11","PRCP",0
"GHCND:USC00368449","1970-01-11","TMAX",-7.2
"GHCND:USC00368449","1970-01-11","TMIN",-12.8
"GHCND:USW00014761","1970-01-11","PRCP",1
"GHCND:USW00014761","1970-01-11","TMAX",-7.8
"GHCND:USW00014761","1970-01-11","TMIN",-15.6
"GHCND:USC00360530","1970-01-12","PRCP",2.8
"GHCND:USC00360530","1970-01-12","TMAX",-6.7
"GHCND:USC00360530","1970-01-12","TMIN",-11.7
"GHCND:USC00361480","1970-01-12","PRCP",3.8
"GHCND:USC00364450","1970-01-12","PRCP",0
"GHCND:USC00364450","1970-01-12","TMIN",-11.7
"GHCND:USC00365790","1970-01-12","PRCP",2.5
"GHCND:USC00368449","1970-01-12","PRCP",3
"GHCND:USC00368449","1970-01-12","TMAX",-5
"GHCND:USC00368449","1970-01-12","TMIN",-12.2
"GHCND:USW00014761","1970-01-12","PRCP",2.5
"GHCND:USW00014761","1970-01-12","TMAX",-3.3
"GHCND:USW00014761","1970-01-12","TMIN",-9.4
"GHCND:USC00360530","1970-01-13","PRCP",0
"GHCND:USC00360530","1970-01-13","TMAX",-2.2
"GHCND:USC00360530","1970-01-13","TMIN",-10.6
"GHCND:USC00361480","1970-01-13","PRCP",.8
"GHCND:USC00364450","1970-01-13","PRCP",2.5
"GHCND:USC00364450","1970-01-13","TMIN",-8.9
