var1
0.01
-0.01
0.13
-0.12
-0.26***
-0.03
-0.14**
-0.05
0.09
-0.07
-0.20*
-0.09
-0.01
-0.1
-0.19***
-0.04
0.30*
-0.13
-5.11
-9.37
0.28*
-0.13
